LotArea,BedroomAbvGr,YrSold,MoSold,SalePrice
16196,3,2007,8,215000
16560,4,2006,7,239000
8314,2,2007,6,124500
11700,4,2009,5,265979
4118,2,2006,3,52500
9842,2,2007,3,101800
9758,3,2007,7,119500
8400,3,2010,4,171000
9204,3,2008,8,124000
5330,2,2007,8,251000
13869,3,2007,7,177000
13300,2,2007,6,132000
12546,3,2007,4,182900
10800,3,2008,4,163000
10780,3,2006,7,132500
9937,3,2009,3,167000
11670,3,2007,3,320000
10012,3,2008,4,137500
10316,3,2008,6,235000
11600,3,2006,4,145250
8712,2,2010,6,55993
9120,3,2008,11,163000
13700,4,2008,5,201800
13500,3,2008,7,325000
12257,4,2007,11,290000
5381,1,2009,8,196000
1596,2,2009,11,91000
6240,2,2009,12,254000
8172,4,2008,5,135000
5500,1,2007,4,103200
7937,3,2006,3,142500
8525,4,2008,11,130000
4750,2,2007,12,235000
9550,3,2006,2,140000
8724,3,2007,5,129000
10721,3,2008,10,142000
4923,0,2008,8,286000
10437,2,2008,8,350000
8400,3,2008,7,174000
1533,3,2009,5,97000
12692,4,2007,5,430000
8281,3,2009,12,62383
12168,4,2007,9,359100
7763,3,2008,10,140000
8780,3,2009,3,112000
10859,3,2009,6,145000
8100,2,2007,6,153500
7227,2,2008,6,105500
8635,2,2008,1,127000
4928,2,2007,2,128000
5684,2,2006,6,110000
8544,2,2009,6,92900
9060,3,2007,6,120000
10839,3,2008,7,181000
13132,4,2006,7,138887
14541,5,2006,11,310000
10150,2,2007,7,114500
13500,1,2008,3,235000
6120,3,2009,7,133000
7931,3,2008,6,155000
3378,3,2009,9,135000
2368,3,2009,5,125000
12886,3,2009,10,175000
9100,3,2006,10,216837
6120,2,2008,4,129900
10152,3,2007,6,135000
11880,3,2009,4,157000
1526,1,2009,5,86000
11717,2,2009,2,185000
10896,8,2007,3,200000
7018,6,2009,6,142953
9636,3,2009,12,178000
8450,3,2007,10,185000
11241,2,2010,3,149000
9360,3,2010,3,197500
9572,4,2007,6,302000
16905,2,2007,7,170000
10791,2,2006,10,90000
11885,3,2009,11,261500
10400,3,2008,5,174000
2160,2,2008,3,160000
9965,4,2007,4,424870
10335,3,2006,7,180000
10500,2,2009,3,97000
11075,4,2008,6,206900
9600,2,2007,5,135000
15865,4,2007,10,268000
11341,3,2010,5,121500
10192,4,2006,9,170000
